Date,BTC,SPX
2015-02-17,75.62235865844724,15.843968703958971
2015-02-18,76.12949731483027,14.792141858984529
2015-02-19,75.98720042326963,14.44911864708604
2015-02-20,73.38405492649244,14.152035841358352
2015-02-23,71.50698976022072,13.301271823101155
2015-02-24,71.125584513133,13.040292483711028
2015-02-25,67.27399106004283,12.771784214039917
2015-02-26,66.56327375787146,12.733117001405208
2015-02-27,60.440705728651324,12.6193488366214
2015-03-02,60.17739198089266,12.262074213999933
2015-03-03,59.4193663137351,11.937143360788543
2015-03-04,59.092483739490035,12.05105657799421
2015-03-05,57.0445885854743,11.999531946959154
2015-03-06,57.265891194251026,12.08496396951979
2015-03-09,56.713604031138395,12.010817670281885
2015-03-10,56.12349415074645,12.953462020394083
2015-03-11,55.69556403120721,12.359099677993482
2015-03-12,55.817109832917374,12.205406391385862
2015-03-13,56.957613503907766,12.135074108488219
2015-03-16,49.46091802382462,11.994750648906983
2015-03-17,40.968857115762894,11.608887810763463
2015-03-18,52.67964497440073,11.386699550591606
2015-03-19,51.65448383528385,11.416014261900246
2015-03-20,50.71873506151031,11.333873741385947
2015-03-23,51.20494853530177,11.313720778782766
2015-03-24,55.87211355744521,11.365698842103276
2015-03-25,55.77733352126537,11.837510123805687
2015-03-26,55.827942577890525,11.855594688816934
2015-03-27,55.83616652480112,11.521479191323698
2015-03-30,53.88581361788395,12.015615114593391
2015-03-31,53.51153646363155,12.262697151970041
2015-04-01,50.64071720009055,12.294167871691217
2015-04-02,50.69732267095479,12.352715371724031
2015-04-06,50.62151343211998,12.387238267627248
2015-04-07,50.641444826896745,12.404116394435244
2015-04-08,48.385161989418535,12.417490541620053
2015-04-09,48.22864550940839,12.496576454174328
2015-04-10,48.33141156481561,12.602256457899594
2015-04-13,49.54734467259658,12.632288587587686
2015-04-14,49.26738411524002,12.5026919285628
2015-04-15,49.57392469162853,12.519758671425446
2015-04-16,50.22645993282098,12.455071486345167
2015-04-17,40.65362764842497,12.90613921495316
2015-04-20,40.28954512013956,12.480865974305223
2015-04-21,41.76058789175617,12.44233702800574
2015-04-22,41.760640571117655,11.448498289366052
2015-04-23,34.70385082759264,11.40966244317894
2015-04-24,35.20692565407273,10.892676586737347
2015-04-27,38.18349459495128,10.796243199106225
2015-04-28,36.692011223200296,10.172555014280087
2015-04-29,36.102445121057514,10.212944527449222
2015-04-30,38.50926318486665,10.072906411154644
2015-05-01,38.56733212880983,10.465227890098182
2015-05-04,38.74643884115294,10.186401597514047
2015-05-05,37.86459015401372,10.72074348753235
2015-05-06,38.20539479026131,10.662715739247867
2015-05-07,39.54519595952042,9.773598175712165
2015-05-08,39.32731678507261,10.385558867614881
2015-05-11,38.33492208775813,10.511774903130469
2015-05-12,38.35733416561181,9.994342630496408
2015-05-13,35.77718889870396,9.619339864176402
2015-05-14,34.906203763086076,9.941922102899143
2015-05-15,34.46346348801024,9.912496228543784
2015-05-18,33.52791150853876,9.78478287979488
2015-05-19,33.55255433715825,9.735958500138768
2015-05-20,33.54918100279143,9.718138292120408
2015-05-21,30.77272753918695,9.67888884331499
2015-05-22,31.33022071872552,9.61326771211951
2015-05-26,28.69057851556867,10.058673798901953
2015-05-27,25.873601717644927,10.3978478839509
2015-05-28,25.414766558168694,10.338609332589293
2015-05-29,25.4238718177214,10.511107632368068
2015-06-01,23.65536437001999,9.918996347387266
2015-06-02,22.917053399255103,9.591530084598874
2015-06-03,22.9023985001879,9.606255307211406
2015-06-04,22.745897841403888,9.837624118120239
2015-06-05,21.44769974444854,9.817107561461578
2015-06-08,18.931818395234842,9.93388335118741
2015-06-09,18.92294760044565,9.87320535632545
2015-06-10,18.717247685514653,10.454412711144808
2015-06-11,18.776849725016348,10.424024871546637
2015-06-12,17.976056947267065,10.241691021044916
2015-06-15,18.691155550104728,9.817329541077257
2015-06-16,25.07124658982666,9.916753452462016
2015-06-17,24.649590435053252,9.323475367082219
2015-06-18,24.57402863660063,9.667873047206728
2015-06-19,25.17075736773614,9.731634939401147
2015-06-22,24.651867651379874,9.086975343584127
2015-06-23,24.78535250293716,8.96356655305087
2015-06-24,24.75792279504159,9.187954198515639
2015-06-25,24.893396933874783,9.2373146317013
2015-06-26,24.903729522710965,8.712449417367193
2015-06-29,27.276110315514916,10.60953333053714
2015-06-30,27.381880501230825,10.579929714777132
2015-07-01,25.951292459635884,10.894808038210348
2015-07-02,26.318214931405066,10.894963119191123
2015-07-06,28.77828580278322,10.855988122744979
2015-07-07,28.691520744077692,11.04215257594443
2015-07-08,28.331183165803807,11.656673141799773
2015-07-09,28.51156327812636,11.275513996184829
2015-07-10,32.04999764964857,11.944126976170564
2015-07-13,41.39645966907921,12.279220670767382
2015-07-14,41.94748153627118,12.331046244025186
2015-07-15,42.04812714186116,12.32781139163862
2015-07-16,40.19706851805757,12.521756470523906
2015-07-17,40.089434175444985,12.24717643240707
2015-07-20,40.33431866466327,12.2286589118558
2015-07-21,40.49948921034613,12.138711174873025
2015-07-22,40.42423710043322,12.157894553132312
2015-07-23,40.256654398399014,11.800376704098525
2015-07-24,41.363500113805955,12.138803707702186
2015-07-27,40.8129226892083,12.054073710165254
2015-07-28,40.63117544505953,12.524922050299537
2015-07-29,40.334758619009406,12.583095851076717
2015-07-30,40.025378331336384,12.576380155237215
2015-07-31,39.7912131799078,12.209222907687302
2015-08-03,39.564786756584255,12.180734288226592
2015-08-04,37.99232977682617,12.086799849301462
2015-08-05,38.02466083501208,12.13039501078669
2015-08-06,38.0608040735033,12.179889045718195
2015-08-07,37.782370753485466,12.162570440541675
2015-08-10,38.488649619260315,12.718204443507345
2015-08-11,34.60803182455819,11.365981589424075
2015-08-12,30.171526598585054,11.35821698261303
2015-08-13,29.97845936377107,11.142271369760564
2015-08-14,30.073654122569526,11.181180393690907
2015-08-17,29.16406516464147,11.238811262019722
2015-08-18,64.52310710274915,11.152070288198008
2015-08-19,68.13747799586541,10.210045973312596
2015-08-20,69.32301521609237,11.982269612657237
2015-08-21,69.27762711191916,14.305149145060266
2015-08-24,70.81910574163511,18.21108728533295
2015-08-25,72.75958571515437,18.21858277315311
2015-08-26,73.13387278865929,21.84027537691103
2015-08-27,73.06410629301908,23.024842252306073
2015-08-28,73.84583985510137,23.017099733221706
2015-08-31,73.92981083073161,23.06642692961628
2015-09-01,73.86594857397574,24.441196196590177
2015-09-02,73.94895276045867,25.26682649763488
2015-09-03,73.6846278938204,25.267841361500192
2015-09-04,73.92630675059853,25.439110713547176
2015-09-08,72.17968191750963,26.620886089363054
2015-09-09,72.40605887439682,26.507934640791554
2015-09-10,72.01639232261235,26.467793290636198
