Date,BTC,SPX
2015-02-17,75.62235865844724,15.84382676599558
2015-02-18,76.12949731483027,14.792018576273314
2015-02-19,75.98720042326963,14.448996984708492
2015-02-20,73.38405492649244,14.151939557598137
2015-02-23,71.50698976022072,13.301131814892617
2015-02-24,71.125584513133,13.04016244089318
2015-02-25,67.27399106004283,12.77162558730007
2015-02-26,66.56327375787146,12.732967009871427
2015-02-27,60.440705728651324,12.61918797031996
2015-03-02,60.17739198089266,12.261910583284099
2015-03-03,59.4193663137351,11.936985857696214
2015-03-04,59.092483739490035,12.050897544587142
2015-03-05,57.0445885854743,11.999360589353111
2015-03-06,57.265891194251026,12.084790329079235
2015-03-09,56.713604031138395,12.010640645696062
2015-03-10,56.12349415074645,12.953310103928347
2015-03-11,55.69556403120721,12.358941931894396
2015-03-12,55.817109832917374,12.205197301111331
2015-03-13,56.957613503907766,12.13486997557571
2015-03-16,49.46091802382462,11.994636529659722
2015-03-17,40.968857115762894,11.608812815967655
2015-03-18,52.67964497440073,11.386628130016202
2015-03-19,51.65448383528385,11.415959615403706
2015-03-20,50.71873506151031,11.333840271359277
2015-03-23,51.20494853530177,11.313683349488667
2015-03-24,55.87211355744521,11.36567227038929
2015-03-25,55.77733352126537,11.837553554413812
2015-03-26,55.827942577890525,11.85562874148928
2015-03-27,55.83616652480112,11.521499462212741
2015-03-30,53.88581361788395,12.015630272835253
2015-03-31,53.51153646363155,12.262702537345898
2015-04-01,50.64071720009055,12.294181847556855
2015-04-02,50.69732267095479,12.352723830398483
2015-04-06,50.62151343211998,12.387268579923134
2015-04-07,50.641444826896745,12.404153331485123
2015-04-08,48.385161989418535,12.417538304596787
2015-04-09,48.22864550940839,12.496620648284724
2015-04-10,48.33141156481561,12.602301157784126
2015-04-13,49.54734467259658,12.63234748394099
2015-04-14,49.26738411524002,12.502761387013853
2015-04-15,49.57392469162853,12.519827715710507
2015-04-16,50.22645993282098,12.455144269238344
2015-04-17,40.65362764842497,12.906196381264598
2015-04-20,40.28954512013956,12.480949603579916
2015-04-21,41.76058789175617,12.44241889901034
2015-04-22,41.760640571117655,11.448581961188173
2015-04-23,34.70385082759264,11.409752775596536
2015-04-24,35.20692565407273,10.89280429843708
2015-04-27,38.18349459495128,10.796355398204236
2015-04-28,36.692011223200296,10.172629449567484
2015-04-29,36.102445121057514,10.213005859390616
2015-04-30,38.50926318486665,10.072982560170788
2015-05-01,38.56733212880983,10.465308366084923
2015-05-04,38.74643884115294,10.186491039167764
2015-05-05,37.86459015401372,10.720831807986077
2015-05-06,38.20539479026131,10.662796381320646
2015-05-07,39.54519595952042,9.773595293355935
2015-05-08,39.32731678507261,10.385557453768925
2015-05-11,38.33492208775813,10.511752180948129
2015-05-12,38.35733416561181,9.99432257536523
2015-05-13,35.77718889870396,9.61933341464336
2015-05-14,34.906203763086076,9.941864865234367
2015-05-15,34.46346348801024,9.912443178740032
2015-05-18,33.52791150853876,9.78470085708469
2015-05-19,33.55255433715825,9.735859768358889
2015-05-20,33.54918100279143,9.718037170814103
2015-05-21,30.77272753918695,9.678796118922062
2015-05-22,31.33022071872552,9.613175298674294
2015-05-26,28.69057851556867,10.058565429167922
2015-05-27,25.873601717644927,10.397759032416761
2015-05-28,25.414766558168694,10.3385212231421
2015-05-29,25.4238718177214,10.511031762246349
2015-06-01,23.65536437001999,9.918934389018458
2015-06-02,22.917053399255103,9.591468007300756
2015-06-03,22.9023985001879,9.606201358870573
2015-06-04,22.745897841403888,9.837595937407768
2015-06-05,21.44769974444854,9.817072811165458
2015-06-08,18.931818395234842,9.933846717542961
2015-06-09,18.92294760044565,9.873181158237736
2015-06-10,18.717247685514653,10.454402099453304
2015-06-11,18.776849725016348,10.424020089543433
2015-06-12,17.976056947267065,10.241686223683425
2015-06-15,18.691155550104728,9.817307338616883
2015-06-16,25.07124658982666,9.916707458662895
2015-06-17,24.649590435053252,9.323430846487929
2015-06-18,24.57402863660063,9.667827318670104
2015-06-19,25.17075736773614,9.731594905223766
2015-06-22,24.651867651379874,9.086961573889088
2015-06-23,24.78535250293716,8.963569654008095
2015-06-24,24.75792279504159,9.187956764627565
2015-06-25,24.893396933874783,9.237320190564251
2015-06-26,24.903729522710965,8.712500190494733
2015-06-29,27.276110315514916,10.609586935435363
2015-06-30,27.381880501230825,10.579981241216979
2015-07-01,25.951292459635884,10.894858395480279
2015-07-02,26.318214931405066,10.895013057029582
2015-07-06,28.77828580278322,10.856030338957554
2015-07-07,28.691520744077692,11.042180580157599
2015-07-08,28.331183165803807,11.656719527785592
2015-07-09,28.51156327812636,11.275540181533481
2015-07-10,32.04999764964857,11.944178967367233
2015-07-13,41.39645966907921,12.279286015868616
